X,Z,trial,finished
4.075356,57.89406,2,1
4.768963,55.06279,2,1
4.72,52.08978,2,1
4.72,51.6144,2,1
4.72,51.6144,2,1
5.027316,50.08582,2,1
5.901687,47.21929,2,1
6.163346,46.67952,2,1
6.163346,46.67952,2,1
6.163346,46.67952,2,1
6.163346,46.67952,2,1
6.163346,46.67952,2,1
7.56931,45.03975,2,1
9.253711,42.45383,2,1
9.70441,39.48841,2,1
10.18235,36.4052,2,1
10.36,33.43899,2,1
10.47511,32.24503,2,1
10.47511,32.24503,2,1
10.47511,32.24503,2,1
10.47511,32.24503,2,1
12.07548,30.62166,2,1
14.31556,28.62638,2,1
16.51743,26.41713,2,1
18.31677,23.87071,2,1
19.72157,21.24695,2,1
20.04617,18.14451,2,1
20.31731,15.27731,2,1
20.31731,15.27731,2,1
20.31731,15.27731,2,1
20.1845,15.07741,2,1
19.32674,13.63304,2,1
19.13019,12.45437,2,1
19.13019,12.45437,2,1
19.13019,12.45437,2,1
20.64475,11.08779,2,1
20.64475,11.08779,2,1
20.64475,11.08779,2,1
20.64475,11.08779,2,1
18.80637,10.53694,2,1
15.76144,9.85749,2,1
12.70965,9.209016,2,1
9.728185,8.883868,2,1
6.630339,8.525972,2,1
3.757863,7.673646,2,1
1.693511,7.059002,2,1
1.693511,7.059002,2,1
0.8247266,6.656065,2,1
-0.02318494,5.988369,2,1
-0.02318494,5.988369,2,1
-0.764263,3.332703,2,1
-0.2717326,0.8561612,2,1
-0.2688645,-0.2238349,2,1
-0.2585475,1.096125,2,1
-0.2341619,4.216029,2,1
-0.2135279,6.855953,2,1
-0.3560455,9.126088,2,1
-0.3560455,9.126088,2,1
0.1086282,9.005826,2,1
3.145181,8.289207,2,1
6.069415,7.623113,2,1
9.168227,7.788866,2,1
12.21797,8.437895,2,1
15.09184,9.244503,2,1
17.67556,10.76536,2,1
19.55729,13.30082,2,1
20.36,16.25788,2,1
20.36,19.11934,2,1
20.63306,22.18462,2,1
19.16038,24.8092,2,1
17.1665,27.05021,2,1
14.99927,29.10978,2,1
12.3777,31.01194,2,1
10.36839,33.2173,2,1
10.31973,36.1872,2,1
10.07685,39.25928,2,1
8.497624,41.94291,2,1
7.184749,44.64038,2,1
5.829006,47.45033,2,1
4.858653,50.39587,2,1
5.038675,53.3891,2,1
5.219388,56.38362,2,1
5.275855,57.22168,2,1
5.275855,57.22168,2,1
5.275855,57.22168,2,1
4.035991,58.35276,2,1
3.632317,58.61226,2,1
3.396461,58.56789,2,1
2.12,57.48199,2,1
2.12,57.35955,2,1
2.12,57.35955,2,1
2.725718,57.22,2,1
2.749051,57.22036,2,1
2.749012,57.22032,2,1
4.718162,58.67819,2,1
5.075195,59.43632,2,1
5.075195,59.43632,2,1
4.38194,57.13865,2,1
4.72,55.01443,2,1
4.72,51.93201,2,1
4.71294,48.85177,2,1
6.050131,46.04844,2,1
7.324532,43.34128,2,1
8.282813,40.37713,2,1
9.602261,38.84607,2,1
9.772861,38.67726,2,1
9.72,36.76479,2,1
9.72,33.67071,2,1
10.32469,30.79747,2,1
12.27972,28.3879,2,1
14.73032,26.4586,2,1
16.96983,24.46723,2,1
18.6437,22.07144,2,1
20.23483,19.83253,2,1
20.36,16.7781,2,1
20.01874,13.83507,2,1
17.58713,11.92805,2,1
14.66692,10.85429,2,1
11.75372,10.13793,2,1
8.723828,9.393538,2,1
5.824958,8.625085,2,1
2.987314,7.340217,2,1
0.6857819,5.28335,2,1
0.07864233,2.368917,2,1
-0.279998,-0.719851,2,1
-0.03900833,0.58109,2,1
0.5114696,3.652143,2,1
