x,y,DISTANCE,n,risk,safe_first
1963,2002,206.8912758,2,1,risky first
1783,1822,254.5584412,2,1,risky first
1735,1723,110.0227249,2,1,risky first
1885,1624,179.7247896,2,1,risky first
1951,1624,66,2,1,risky first
1951,1624,0,2,1,risky first
1951,1498,126,2,1,risky first
1951,1318,180,2,1,risky first
2071,1201,167.5977327,2,1,risky first
2164,1099,138.0326048,2,1,risky first
2302,1099,138,2,1,risky first
2311,1099,9,2,1,risky first
2362,1099,51,2,1,risky first
2362,1054,45,2,1,risky first
2332,1054,30,2,1,risky first
2392,1054,60,2,1,risky first
2572,1054,180,2,1,risky first
2752,1054,180,2,1,risky first
2908,1159,188.0452073,2,1,risky first
2908,1339,180,2,1,risky first
2908,1519,180,2,1,risky first
2908,1570,51,2,1,risky first
2845,1639,93.43446901,2,1,risky first
2737,1759,161.4434886,2,1,risky first
2560,1756,177.0254219,2,1,risky first
2485,1867,133.9626814,2,1,risky first
2305,1873,180.0999722,2,1,risky first
2278,2047,176.0823671,2,1,risky first
2239,1900,152.0855023,2,1,risky first
2059,1900,180,2,1,risky first
1879,1942,184.8350616,2,1,risky first
1858,2122,181.2208597,2,1,risky first
1792,2302,191.7185437,2,1,risky first
1666,2467,207.6078033,2,1,risky first
1609,2383,101.5135459,2,1,risky first
1609,2299,84,2,1,risky first
1609,2299,0,2,1,risky first
1609,2299,0,2,1,risky first
1645,2230,77.82673063,2,1,risky first
1558,2260,92.0271699,2,1,risky first
1600,2329,80.77747211,2,1,risky first
1600,2329,0,2,1,risky first
1600,2329,0,2,1,risky first
1600,2329,0,2,1,risky first
1681,2443,139.8463442,2,1,risky first
1756,2572,149.2179614,2,1,risky first
1756,2752,180,2,1,risky first
1756,2836,84,2,1,risky first
1756,2821,15,2,1,risky first
1888,2857,136.821051,2,1,risky first
2068,2839,180.8977612,2,1,risky first
2128,2686,164.3441511,2,1,risky first
2128,2644,42,2,1,risky first
2128,2548,96,2,1,risky first
2236,2443,150.6286825,2,1,risky first
2332,2329,149.0369082,2,1,risky first
2263,2275,87.6184912,2,1,risky first
2263,2275,0,2,1,risky first
2263,2275,0,2,1,risky first
2263,2179,96,2,1,risky first
2263,1999,180,2,1,risky first
2263,1819,180,2,1,risky first
2188,1639,195,2,1,risky first
2095,1459,202.6055281,2,1,risky first
1915,1279,254.5584412,2,1,risky first
2002,1195,120.9338662,2,1,risky first
2146,1177,145.1206395,2,1,risky first
2236,1069,140.5844942,2,1,risky first
2278,1129,73.23933369,2,1,risky first
2302,1132,24.18677324,2,1,risky first
2302,1132,0,2,1,risky first
2338,1132,36,2,1,risky first
2242,1132,96,2,1,risky first
2137,1153,107.0794098,2,1,risky first
2137,1219,66,2,1,risky first
2230,1288,115.8015544,2,1,risky first
2131,1468,205.4288198,2,1,risky first
1993,1648,226.8126981,2,1,risky first
1954,1675,47.4341649,2,1,risky first
1894,1828,164.3441511,2,1,risky first
1831,1957,143.5618334,2,1,risky first
1831,1942,15,2,1,risky first
1831,1774,168,2,1,risky first
1831,1594,180,2,1,risky first
1867,1414,183.5647025,2,1,risky first
1903,1234,183.5647025,2,1,risky first
2017,1096,178.9972067,2,1,risky first
2128,1180,139.2012931,2,1,risky first
2230,1297,155.2191998,2,1,risky first
